Iterasi,T1_Akuisisi_Citra,T2_Pembacaan_GPS,T3_Deteksi_YOLO,T4_Klasifikasi_DT,T5_Total_End_to_End
1,0.354832666999755,0.7569420500003616,1.848075517000325,0.03377749599985691,2.9936277300002985
2,0.001689168000666541,0.0012918899992655497,1.1184661700008292,0.005660672999511007,1.1271079010002722
3,0.0017113909998442978,0.0007051120001051459,1.1127178639999329,0.005351487000552879,1.1204858540004352
4,0.001432779000424489,0.0012929639997310005,1.108616559999973,0.005342579000171099,1.1166848820002997
5,0.0014303719999588793,0.0012608159995579626,1.1114245959997788,0.005298838000271644,1.1194146219995673
6,0.0014475939997282694,0.0007035930002530222,1.1345681709999553,0.0054233390001172666,1.1421426970000539
7,0.0017051499999070074,0.001293650000661728,1.1914338189999398,0.0053492649994950625,1.1997818840000036
8,0.0017427239999960875,0.001259963999473257,1.1447447500004273,0.005411357999946631,1.1531587959998433
9,0.001542908999908832,0.0007052040000417037,1.1477788620004503,0.005423393999990367,1.1554503690003912
10,0.0015995390003809007,0.001294816000154242,1.1469730049993814,0.005322025000168651,1.1551893850000852
11,0.0014967239994803094,0.0013865939999959664,1.14915105900036,0.0055256360001294524,1.1575600129999657
12,0.0015317420002247673,0.0007084270000632387,1.1478616280001006,0.005525820999537245,1.1556276179999259
13,0.0015510390003328212,0.0012957599992660107,1.1455266410002878,0.005420913999842014,1.1537943539997286
14,0.0014386860002559843,0.0013097799992465298,1.1807066590008617,0.005367672999454953,1.1888227979998192
15,0.0015129650000744732,0.0008162780004568049,1.155026350999833,0.005563190999964718,1.162918785000329
16,0.0014910949994373368,0.0013671120004801196,1.132047172000057,0.005179746999601775,1.1400851259995761
17,0.0015100390000952757,0.001265482999770029,1.1170931119995657,0.005232766000517586,1.1251013999999486
18,0.0014765570003874018,0.000702389999787556,1.1201842780001243,0.0052033029996891855,1.1275665279999885
19,0.0014766690001124516,0.0012868719995822175,1.1228711660005501,0.0052406549993975204,1.1308753619996423
20,0.0015011690002211253,0.0012948899993716623,1.1132467980005458,0.005204766000133532,1.1212476230002721
